method,budget_fraction,generator_gap_ratio,status,objective_normalized,label_component,generator_component,noise_component,active_clients,raw_clients,interior_clients,full_clients,mean_u_active,budget,full_budget,total_payment,budget_utilization,active_original_samples,synthetic_samples_proxy,active_indices,u,normalized_absolute_gap,solver_failures
continuous,0.4,0.0,ok,0.00262095067520199,1.548598943591966e-29,0.0,0.00262095067520199,3,0,0,3,0.9999999999999982,1.5706666666666667,3.9266666666666663,1.3346666666666633,0.8497453310696074,12104,47955.99999999956,"[0, 3, 4]","[0.9999999999999976, 0.0, 0.0, 0.9999999999999991, 0.9999999999999982, 0.0]",0.0,3
three_state,0.4,0.0,ok,0.00262095067520199,0.0,0.0,0.00262095067520199,3,0,0,3,1.0,1.5706666666666667,3.9266666666666663,1.3346666666666667,0.8497453310696095,12104,47955.99999999999,"[0, 3, 4]","[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]",0.0,0
no_aigc,0.4,0.0,ok,0.8530094308387358,0.85042269787861,0.0,0.002586732960125739,6,6,0,0,0.0,1.5706666666666667,3.9266666666666663,1.0,0.6366723259762309,45000,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.5,0.0,ok,0.0026208712792488566,3.85504967046559e-28,0.0,0.0026208712792488566,3,0,0,3,0.9999999999999943,1.9633333333333332,3.9266666666666663,1.7679999999999816,0.9005093378607717,15531,64028.999999997584,"[0, 2, 4]","[1.0, 0.0, 0.9999999999999871, 0.0, 0.9999999999999958, 0.0]",1.6332421526321639e-15,0
three_state,0.5,0.0,ok,0.0026208712792488566,0.0,0.0,0.0026208712792488566,3,0,0,3,1.0,1.9633333333333332,3.9266666666666663,1.768,0.900509337860781,15531,64029.0,"[0, 2, 4]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0.0,0
no_aigc,0.5,0.0,ok,0.8530094308387358,0.85042269787861,0.0,0.002586732960125739,6,6,0,0,0.0,1.9633333333333332,3.9266666666666663,1.0,0.5093378607809848,45000,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.02,0.30857142857142855,ok,7.371478863132618,7.323056906187263,0.04561503565245634,0.002806921292897905,1,0,1,0,0.12784129939930247,0.07853333333333333,3.9266666666666663,0.0785333333333333,0.9999999999999997,3049,351.40359615407766,[3],"[0.0, 0.0, 0.0, 0.12784129939930247, 0.0, 0.0]",8.970602038971265e-14,0
three_state,0.02,0.30857142857142855,ok,9.63003750224568,9.627230580952782,0.0,0.002806921292897905,1,1,0,0,0.0,0.07853333333333333,3.9266666666666663,0.06775555555555555,0.8627617430673458,3049,0.0,[3],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.02,0.30857142857142855,ok,9.63003750224568,9.627230580952782,0.0,0.002806921292897905,1,1,0,0,0.0,0.07853333333333333,3.9266666666666663,0.06775555555555555,0.8627617430673458,3049,0.0,[3],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.04,0.30857142857142855,ok,3.0113976501440693,2.2700128488910103,0.7385778799601609,0.002806921292897905,1,0,1,0,0.5144170034086041,0.15706666666666666,3.9266666666666663,0.15706666666666663,0.9999999999999998,3049,2170.405768371837,[3],"[0.0, 0.0, 0.0, 0.5144170034086041, 0.0, 0.0]",6.247891093380531e-12,1
three_state,0.04,0.30857142857142855,ok,7.735985072826171,7.733178151533274,0.0,0.002806921292897905,1,1,0,0,0.0,0.15706666666666666,3.9266666666666663,0.0918888888888889,0.5850311262026033,4135,0.0,[0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.04,0.30857142857142855,ok,7.735985072826171,7.733178151533274,0.0,0.002806921292897905,1,1,0,0,0.0,0.15706666666666666,3.9266666666666663,0.0918888888888889,0.5850311262026033,4135,0.0,[0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.06,0.30857142857142855,ok,2.1802617469316172,0.6407252707837767,1.5367295548549422,0.002806921292897905,1,0,1,0,0.7420204743938174,0.23559999999999998,3.9266666666666663,0.23559999999999998,1.0,3049,4570.058399462952,[3],"[0.0, 0.0, 0.0, 0.7420204743938174, 0.0, 0.0]",2.842170943040401e-14,1
three_state,0.06,0.30857142857142855,ok,4.70835205661897,4.705683934737053,0.0,0.0026681218819164763,2,2,0,0,0.0,0.23559999999999998,3.9266666666666663,0.15964444444444445,0.6776079984908508,7184,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.06,0.30857142857142855,ok,4.70835205661897,4.705683934737053,0.0,0.0026681218819164763,2,2,0,0,0.0,0.23559999999999998,3.9266666666666663,0.15964444444444445,0.6776079984908508,7184,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.08,0.30857142857142855,ok,2.0233812446331307,0.5279486022615878,1.492625721078645,0.002806921292897905,1,0,1,0,0.738713594366165,0.3141333333333333,3.9266666666666663,0.30695939443193404,0.9771627581661738,4135,5978.716543167008,[0],"[0.738713594366165, 0.0, 0.0, 0.0, 0.0, 0.0]",4.440892098500626e-16,1
three_state,0.08,0.30857142857142855,ok,3.7890528505601884,3.7864259832029625,0.0,0.0026268673572258368,3,3,0,0,0.0,0.3141333333333333,3.9266666666666663,0.3035555555555556,0.9663271080928127,13660,0.0,"[0, 2, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
