method,budget_fraction,cost_ratio,base_cost_total,aigc_unit_cost,status,objective_normalized,budget,full_budget,total_payment,budget_utilization,active_clients,raw_clients,interior_clients,full_clients,active_original_samples,synthetic_samples_proxy,total_augmented_samples_proxy,mean_u_active,active_indices,u,missing_ratio,full_synthetic_n,normalized_absolute_gap,solver_failures
no_aigc,0.2,0.25,0.25,1.0,ok,0.42779808189943075,0.6353333333333334,3.1766666666666667,0.25,0.39349422875131157,6,6,0,0,45000,0.0,45000.0,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.3,0.25,0.25,1.0,ok,0.0026659433920892136,0.953,3.1766666666666667,0.8301944444444417,0.8711379270141046,2,0,0,2,9055,35094.99999999968,44149.99999999968,0.9999999999999982,"[0, 4]","[1.0, 0.0, 0.0, 0.0, 0.9999999999999964, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",2.3765711620882257e-16,9
three_state,0.3,0.25,0.25,1.0,ok,0.0026659433920892136,0.953,3.1766666666666667,0.8301944444444443,0.8711379270141074,2,0,0,2,9055,35094.99999999999,44149.99999999999,1.0,"[0, 4]","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.3,0.25,0.25,1.0,ok,0.42779808189943075,0.953,3.1766666666666667,0.25,0.2623294858342078,6,6,0,0,45000,0.0,45000.0,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.4,0.25,0.25,1.0,ok,0.00262095067520199,1.2706666666666668,3.1766666666666667,1.1329333333333322,0.8916054564533044,3,0,0,3,12104,47955.9999999999,60059.9999999999,0.9999999999999997,"[0, 3, 4]","[0.999999999999999, 0.0, 0.0, 0.9999999999999999, 1.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,1
three_state,0.4,0.25,0.25,1.0,ok,0.00262095067520199,1.2706666666666668,3.1766666666666667,1.1329333333333331,0.891605456453305,3,0,0,3,12104,47955.99999999999,60060.0,1.0,"[0, 3, 4]","[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.4,0.25,0.25,1.0,ok,0.42779808189943075,1.2706666666666668,3.1766666666666667,0.25,0.19674711437565578,6,6,0,0,45000,0.0,45000.0,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.5,0.25,0.25,1.0,ok,0.0026208712792488574,1.5883333333333334,3.1766666666666667,1.5091499989857464,0.9501469038735024,3,0,0,3,15531,64028.99986266039,79559.99986266039,0.9999999997106345,"[0, 2, 4]","[1.0, 0.0, 0.9999999991319031, 0.0, 1.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",2.2456441307189268e-10,0
three_state,0.5,0.25,0.25,1.0,ok,0.0026208712792488566,1.5883333333333334,3.1766666666666667,1.5091499999999998,0.950146904512067,3,0,0,3,15531,64029.0,79560.0,1.0,"[0, 2, 4]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.5,0.25,0.25,1.0,ok,0.42779808189943075,1.5883333333333334,3.1766666666666667,0.25,0.15739769150052466,6,6,0,0,45000,0.0,45000.0,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.02,0.5,0.5,1.0,ok,2.453321466748817,0.06853333333333333,3.4266666666666667,0.06853333333333333,1.0,1,0,1,0,3049,918.9666441801594,3967.966644180159,0.28650168251841696,[3],"[0.0, 0.0, 0.0, 0.28650168251841696, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",2.220446049250313e-14,0
three_state,0.02,0.5,0.5,1.0,ok,3.869395997059535,0.06853333333333333,3.4266666666666667,0.04594444444444445,0.6703955901426719,1,1,0,0,4135,0.0,4135.0,0.0,[0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.02,0.5,0.5,1.0,ok,3.869395997059535,0.06853333333333333,3.4266666666666667,0.04594444444444445,0.6703955901426719,1,1,0,0,4135,0.0,4135.0,0.0,[0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.04,0.5,0.5,1.0,ok,0.9338251047586116,0.13706666666666667,3.4266666666666667,0.13706666666666667,1.0,1,0,1,0,3049,2523.539509054034,5572.539509054034,0.5602119822966457,[3],"[0.0, 0.0, 0.0, 0.5602119822966457, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",2.6978419498391304e-14,1
three_state,0.04,0.5,0.5,1.0,ok,2.355510089250443,0.13706666666666667,3.4266666666666667,0.07982222222222222,0.582360570687419,2,2,0,0,7184,0.0,7184.0,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.04,0.5,0.5,1.0,ok,2.355510089250443,0.13706666666666667,3.4266666666666667,0.07982222222222222,0.582360570687419,2,2,0,0,7184,0.0,7184.0,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.06,0.5,0.5,1.0,ok,0.29953690480487644,0.2056,3.4266666666666667,0.20559999999999998,0.9999999999999999,1,0,1,0,3049,4722.2910715057415,7771.2910715057415,0.751718118860895,[3],"[0.0, 0.0, 0.0, 0.751718118860895, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",2.4424906541753444e-15,2
